"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\DI\get_it.dart", "Dart", 68, 0, 14, 82
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Login\view\login_screen.dart", "Dart", 135, 0, 10, 145
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Register\view\register_screen.dart", "Dart", 211, 35, 16, 262
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Verification\view\verification_scree.dart", "Dart", 264, 0, 11, 275
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\data\model\user.dart", "Dart", 29, 0, 3, 32
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Download\view\download_screen.dart", "Dart", 75, 0, 3, 78
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\bloc\home_bloc.dart", "Dart", 63, 1, 6, 70
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\bloc\home_event.dart", "Dart", 6, 0, 4, 10
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\bloc\home_state.dart", "Dart", 26, 0, 5, 31
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\local\advertisment_local_datasource.dart", "Dart", 56, 0, 6, 62
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\local\movei_banner_local_datasource.dart", "Dart", 57, 0, 6, 63
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\local\movei_local_datasource.dart", "Dart", 268, 6, 25, 299
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\remot\advertisment_datasource.dart", "Dart", 23, 0, 4, 27
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\remot\movie_banner_datasource.dart", "Dart", 25, 0, 3, 28
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\remot\movie_datasource.dart", "Dart", 117, 0, 14, 131
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\model\advertisment.dart", "Dart", 19, 0, 5, 24
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\model\advertisment.g.dart", "Dart", 36, 4, 8, 48
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\model\movie.dart", "Dart", 43, 0, 5, 48
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\model\movie.g.dart", "Dart", 48, 4, 8, 60
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\repository\advertisment_repository.dart", "Dart", 30, 0, 5, 35
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\repository\movie_banner_respository.dart", "Dart", 30, 0, 5, 35
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\repository\movie_repository.dart", "Dart", 126, 12, 22, 160
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\view\home_screen.dart", "Dart", 613, 1, 28, 642
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\view\movie_detail_screen.dart", "Dart", 411, 1, 18, 430
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\item_card_from_category.dart", "Dart", 55, 0, 10, 65
