"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\DI\get_it.dart", "Dart", 15, 0, 3, 18
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Login\view\login_screen.dart", "Dart", 30, 0, 2, 32
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Register\view\register_screen.dart", "Dart", 163, -34, 10, 139
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\Verification\view\verification_scree.dart", "Dart", -264, 0, -11, -275
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\bloc\auth_bloc.dart", "Dart", 33, 0, 8, 41
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\bloc\auth_event.dart", "Dart", 15, 0, 6, 21
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\bloc\auth_state.dart", "Dart", 12, 0, 7, 19
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\data\datasource\authentication_datasource.dart", "Dart", 57, 0, 6, 63
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\data\model\user.dart", "Dart", -13, 0, 0, -13
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Authenticaion\data\repository\auth_repository.dart", "Dart", 34, 0, 7, 41
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\remot\movie_banner_datasource.dart", "Dart", 3, 0, 0, 3
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\data\datasource\remot\movie_datasource.dart", "Dart", 6, 0, 0, 6
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\Home\view\home_screen.dart", "Dart", 15, 0, -1, 14
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_bloc.dart", "Dart", 14, 0, 3, 17
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_event.dart", "Dart", 2, 0, 2, 4
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\bloc\movie_detail_state.dart", "Dart", 8, 0, 5, 13
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\datasource\movie_detail_datasource.dart", "Dart", 27, 0, 4, 31
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\model\movie_detile.dart", "Dart", 25, 0, 3, 28
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\data\repository\movie_detail_repository.dart", "Dart", 20, 0, 4, 24
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieDetial\view\movie_detail_screen.dart", "Dart", 64, 0, 7, 71
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\get_item_card_from_category_home.dart", "Dart", 102, 0, 17, 119
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\item_card_from_category.dart", "Dart", -55, 0, -10, -65
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\item_card_from_home.dart", "Dart", 0, 0, -1, -1
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\bloc\movie_list_bloc.dart", "Dart", -35, -6, 0, -41
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\MovieList\data\repository\movie_list_repository.dart", "Dart", 10, 1, 2, 13
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\TestSc\test_screen.dart", "Dart", -6, 5, 0, -1
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\constants\custom_colors.dart", "Dart", 0, 0, -1, -1
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\constants\string_constants.dart", "Dart", 3, 0, 1, 4
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\gen\assets.gen.dart", "Dart", 12, 4, 4, 20
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\main.dart", "Dart", 32, 0, 1, 33
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\enum\category_enum.dart", "Dart", 8, 0, 1, 9
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\category_type_enum_extention.dart", "Dart", 9, 0, 8, 17
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\string_extention.dart", "Dart", 5, 0, 1, 6
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\api_exception.dart", "Dart", 40, 0, 1, 41
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\auth_manager.dart", "Dart", 25, 0, 8, 33
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\toast.dart", "Dart", 11, 0, 2, 13
"Total", "-", 427, -30, 99, 496
