"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\bloc\category_bloc.dart", "Dart", 21, 0, 6, 27
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\bloc\category_event.dart", "Dart", 2, 0, 2, 4
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\bloc\category_state.dart", "Dart", 11, 0, 5, 16
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\data\datasource\category_datasource.dart", "Dart", 69, 0, 5, 74
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\data\model\category.dart", "Dart", 22, 0, 5, 27
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\data\repository\category_repository.dart", "Dart", 40, 0, 5, 45
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\Features\category\view\category_screen.dart", "Dart", 252, 3, 14, 269
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\constants\custom_colors.dart", "Dart", 10, 0, 2, 12
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\constants\string_constants.dart", "Dart", 13, 0, 3, 16
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\gen\assets.gen.dart", "Dart", 149, 34, 39, 222
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\gen\fonts.gen.dart", "Dart", 5, 9, 5, 19
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\main.dart", "Dart", 113, 0, 5, 118
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\enum\category_enum.dart", "Dart", 19, 0, 2, 21
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\category_type_enum_extention.dart", "Dart", 26, 0, 10, 36
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\context_extention.dart", "Dart", 6, 0, 2, 8
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\dio_exception.dart", "Dart", 9, 0, 3, 12
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\movie_extention.dart", "Dart", 14, 0, 3, 17
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\extetion_function\string_extention.dart", "Dart", 5, 0, 1, 6
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\api_exception.dart", "Dart", 45, 0, 2, 47
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\auth_manager.dart", "Dart", 25, 0, 8, 33
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\dio_provider.dart", "Dart", 7, 0, 2, 9
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\util\network_util\intentnet_checker.dart", "Dart", 12, 0, 3, 15
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\advertisment_banner.dart", "Dart", 58, 0, 4, 62
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\banner.dart", "Dart", 50, 0, 4, 54
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\button_main.dart", "Dart", 35, 0, 4, 39
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\cached_network_image.dart", "Dart", 23, 0, 4, 27
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\shimmer_loading.dart", "Dart", 404, 0, 27, 431
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\show_eror_widget.dart", "Dart", 17, 1, 4, 22
"c:\Users\mobin\AndroidStudioProjects\flutter_movie\lib\widget\toast.dart", "Dart", 11, 0, 2, 13
"Total", "-", 5228, 83, 563, 5874
